Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-21,6.95,6.96,6.85,6.89,6.89,28900,0
2018-02-22,6.84,6.87,6.82,6.83,6.83,22700,1
2018-02-23,7.01,7.01,6.89,6.94,6.94,14800,2
2018-02-26,7.02,7.06,7.01,7.03,7.03,13600,3
2018-02-27,7.06,7.06,6.96,6.96,6.96,4500,4
2018-02-28,6.94,6.96,6.91,6.92,6.92,11000,5
2018-03-01,6.82,6.86,6.71,6.74,6.74,61900,6
2018-03-02,6.7,6.74,6.61,6.72,6.72,32600,7
2018-03-05,6.64,6.78,6.61,6.76,6.76,18800,8
2018-03-06,6.71,6.72,6.66,6.69,6.69,68800,9
2018-03-07,6.6,6.61,6.55,6.59,6.59,36200,10
2018-03-08,6.59,6.59,6.52,6.56,6.56,21500,11
2018-03-09,6.47,6.51,6.46,6.51,6.51,26600,12
2018-03-12,6.44,6.52,6.44,6.5,6.5,38200,13
2018-03-13,6.5,6.52,6.44,6.45,6.45,54800,14
2018-03-14,6.53,6.54,6.51,6.52,6.52,17000,15
2018-03-15,6.55,6.62,6.55,6.61,6.61,33600,16
2018-03-16,6.62,6.63,6.59,6.61,6.61,11400,17
2018-03-19,6.65,6.65,6.49,6.52,6.52,25400,18
2018-03-20,6.62,6.64,6.61,6.63,6.63,23700,19
2018-03-21,6.63,6.68,6.61,6.64,6.64,35900,20
2018-03-22,6.63,6.66,6.59,6.59,6.59,25800,21
2018-03-23,6.51,6.59,6.49,6.51,6.51,43300,22
2018-03-26,6.48,6.59,6.48,6.58,6.58,111000,23
2018-03-27,6.62,6.64,6.49,6.52,6.52,64000,24
2018-03-28,6.55,6.6,6.52,6.58,6.58,95000,25
2018-03-29,6.64,6.72,6.62,6.68,6.68,53000,26
2018-04-02,6.65,6.65,6.48,6.52,6.52,46100,27
2018-04-03,6.55,6.65,6.55,6.63,6.63,51900,28
2018-04-04,6.45,6.6,6.45,6.6,6.6,36800,29
2018-04-05,6.55,6.57,6.53,6.57,6.57,26400,30
2018-04-06,6.61,6.61,6.52,6.55,6.55,45400,31
2018-04-09,6.66,6.67,6.63,6.64,6.64,83200,32
2018-04-10,6.79,6.79,6.7,6.75,6.75,31900,33
2018-04-11,6.79,6.81,6.76,6.77,6.77,21300,34
2018-04-12,6.71,6.75,6.71,6.73,6.73,12700,35
2018-04-13,6.72,6.76,6.72,6.76,6.76,20000,36
2018-04-16,6.54,6.78,6.54,6.78,6.78,32300,37
2018-04-17,6.79,6.81,6.78,6.8,6.8,60400,38
2018-04-18,6.76,6.81,6.76,6.79,6.79,18300,39
2018-04-19,6.83,6.83,6.81,6.81,6.81,55000,40
2018-04-20,6.79,6.79,6.76,6.76,6.76,14400,41
2018-04-23,6.81,6.81,6.77,6.81,6.81,27500,42
2018-04-24,6.82,6.83,6.77,6.79,6.79,47000,43
2018-04-25,6.88,6.88,6.68,6.72,6.72,70300,44
2018-04-26,6.91,6.97,6.91,6.96,6.96,47500,45
2018-04-27,6.8,6.8,6.64,6.65,6.65,26500,46
2018-04-30,6.86,6.86,6.7,6.75,6.75,22100,47
2018-05-01,6.81,6.81,6.74,6.8,6.8,44200,48
2018-05-02,6.62,6.64,6.61,6.62,6.62,7300,49
2018-05-03,6.61,6.63,6.56,6.6,6.6,35000,50
2018-05-04,6.59,6.66,6.59,6.66,6.66,23100,51
2018-05-07,6.65,6.66,6.62,6.65,6.65,21400,52
2018-05-08,6.65,6.66,6.63,6.66,6.66,28400,53
